tweet_id,rating_numerator,rating_denominator,name,stages,year,month,day,favorite_count,retweet_count,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
892177421306343426,13,10,Tilly,,2017,August,Tuesday,33819,6514,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True
891815181378084864,12,10,Archie,,2017,July,Monday,25461,4328,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True
891689557279858688,13,10,Darla,,2017,July,Sunday,42908,8964,1,Paper_Towel,0.1702779999999999,False,Labrador_Retriever,0.1680859999999999,True,Spatula,0.0408359,False
891327558926688256,12,10,Franklin,,2017,July,Saturday,41048,9774,2,Basset,0.555712,True,English_Springer,0.2257699999999999,True,German_Short-Haired_Pointer,0.175219,True
891087950875897856,13,10,,,2017,July,Saturday,20562,3261,1,Chesapeake_Bay_Retriever,0.425595,True,Irish_Terrier,0.116317,True,Indian_Elephant,0.0769021999999999,False
890971913173991426,13,10,Jax,,2017,July,Friday,12041,2158,1,Appenzeller,0.341703,True,Border_Collie,0.199287,True,Ice_Lolly,0.193548,False
890729181411237888,13,10,,,2017,July,Friday,56848,16716,2,Pomeranian,0.566142,True,Eskimo_Dog,0.1784059999999999,True,Pembroke,0.0765069,True
890609185150312448,13,10,Zoey,,2017,July,Thursday,28226,4429,1,Irish_Terrier,0.4875739999999999,True,Irish_Setter,0.193054,True,Chesapeake_Bay_Retriever,0.118184,True
890240255349198849,14,10,Cassie,doggo,2017,July,Wednesday,32467,7711,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
890006608113172480,13,10,Koda,,2017,July,Wednesday,31166,7624,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True
889880896479866881,13,10,Bruno,,2017,July,Tuesday,28268,5156,1,French_Bulldog,0.377417,True,Labrador_Retriever,0.151317,True,Muzzle,0.0829811,False
889665388333682689,13,10,,puppo,2017,July,Tuesday,38818,8538,1,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True
889638837579907072,12,10,Ted,,2017,July,Tuesday,27672,4735,1,French_Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire_Bullterrier,0.00149818,True
889531135344209921,13,10,Stuart,puppo,2017,July,Monday,15359,2321,1,Golden_Retriever,0.953442,True,Labrador_Retriever,0.0138341,True,Redbone,0.00795775,True
889278841981685760,13,10,Oliver,,2017,July,Monday,25652,5637,1,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True
888917238123831296,12,10,Jim,,2017,July,Sunday,29611,4709,1,Golden_Retriever,0.714719,True,Tibetan_Mastiff,0.1201839999999999,True,Labrador_Retriever,0.1055059999999999,True
888804989199671297,13,10,Zeke,,2017,July,Saturday,26080,4559,1,Golden_Retriever,0.46976,True,Labrador_Retriever,0.184172,True,English_Setter,0.0734817,True
888554962724278272,13,10,Ralphus,,2017,July,Saturday,20290,3732,3,Siberian_Husky,0.700377,True,Eskimo_Dog,0.166511,True,Malamute,0.111411,True
888078434458587136,12,10,Gerald,,2017,July,Thursday,22201,3653,1,French_Bulldog,0.995026,True,Pug,0.000931908,True,Bull_Mastiff,0.000903211,True
887705289381826560,13,10,Jeffrey,,2017,July,Wednesday,30779,5609,1,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.0262364,True
887473957103951883,13,10,Canela,,2017,July,Wednesday,69871,18781,2,Pembroke,0.809197,True,Rhodesian_Ridgeback,0.05495,True,Beagle,0.0389148,True
887343217045368832,13,10,,,2017,July,Tuesday,34222,10737,1,Mexican_Hairless,0.330741,True,Sea_Lion,0.275645,False,Weimaraner,0.134203,True
887101392804085760,12,10,,,2017,July,Tuesday,31061,6167,1,Samoyed,0.733942,True,Eskimo_Dog,0.0350295,True,Staffordshire_Bullterrier,0.0297047,True
886983233522544640,13,10,Maya,,2017,July,Monday,35859,8084,2,Chihuahua,0.793469,True,Toy_Terrier,0.143528,True,Can_Opener,0.0322529,False
886736880519319552,13,10,Mingus,,2017,July,Sunday,12306,3443,1,Kuvasz,0.309706,True,Great_Pyrenees,0.186136,True,Dandie_Dinmont,0.0863463,True
886366144734445568,12,10,Roscoe,pupper,2017,July,Saturday,21524,3316,1,French_Bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston_Bull,7.55616e-05,True
886258384151887873,13,10,Waffles,,2017,July,Saturday,28469,6523,1,Pug,0.943575,True,Shower_Cap,0.0252856,False,Siamese_Cat,0.00284892,False
885984800019947520,12,10,Jimbo,,2017,July,Friday,33382,7097,1,Blenheim_Spaniel,0.972494,True,Shih-Tzu,0.00663012,True,Bernese_Mountain_Dog,0.00623915,True
885528943205470208,13,10,Maisey,,2017,July,Thursday,36689,6683,1,Pug,0.369275,True,Labrador_Retriever,0.265835,True,Kuvasz,0.134697,True
885311592912609280,13,10,Lilly,,2017,July,Thursday,0,19297,1,Labrador_Retriever,0.908703,True,Seat_Belt,0.0570909,False,Pug,0.0119335,True
885167619883638784,13,10,,,2017,July,Wednesday,22367,4556,4,Malamute,0.8124819999999999,True,Siberian_Husky,0.0717125,True,Eskimo_Dog,0.0557697,True
884925521741709313,12,10,Earl,,2017,July,Wednesday,68152,16439,1,Italian_Greyhound,0.259916,True,American_Staffordshire_Terrier,0.198451,True,Staffordshire_Bullterrier,0.127725,True
884876753390489601,13,10,Lola,,2017,July,Tuesday,28514,6096,1,Chow,0.822103,True,Norwich_Terrier,0.106075,True,Norfolk_Terrier,0.0373485,True
884562892145688576,13,10,Kevin,,2017,July,Tuesday,24765,5100,1,Pug,0.5464060000000001,True,French_Bulldog,0.404291,True,Brabancon_Griffon,0.0440019,True
884441805382717440,14,10,,,2017,July,Monday,27478,5856,1,Pembroke,0.993225,True,Cardigan,0.00321648,True,Chihuahua,0.00208089,True
884162670584377345,12,10,Yogi,doggo,2017,July,Sunday,20771,3128,1,German_Shepherd,0.707046,True,Malinois,0.199396,True,Norwegian_Elkhound,0.0491476,True
883838122936631299,12,10,Noah,,2017,July,Sunday,22349,3586,1,Doberman,0.610946,True,Miniature_Pinscher,0.299603,True,Kelpie,0.0630203,True
883482846933004288,5,10,Bella,,2017,July,Saturday,46860,10407,1,Golden_Retriever,0.943082,True,Labrador_Retriever,0.032409,True,Kuvasz,0.00550072,True
883360690899218434,13,10,Grizzwald,floofer,2017,July,Friday,22986,3825,1,Chow,0.987997,True,Tibetan_Mastiff,0.00709872,True,Newfoundland,0.00214033,True
883117836046086144,13,10,,,2017,July,Friday,37914,6949,2,Golden_Retriever,0.949562,True,Labrador_Retriever,0.0459479,True,Kuvasz,0.00247094,True
882992080364220416,13,10,Rusty,,2017,July,Thursday,24445,4122,1,Eskimo_Dog,0.4667779999999999,True,Siberian_Husky,0.406044,True,Dingo,0.0734143999999999,False
882762694511734784,12,10,Gus,pupper,2017,July,Thursday,28903,5134,1,Labrador_Retriever,0.85005,True,Chesapeake_Bay_Retriever,0.074257,True,Flat-Coated_Retriever,0.0155793999999999,True
882627270321602560,13,10,Stanley,,2017,July,Wednesday,28382,6342,1,Pembroke,0.542982,True,Chihuahua,0.251988,True,Cardigan,0.107699,True
882268110199369728,13,10,Alfy,,2017,July,Tuesday,45880,12118,1,Golden_Retriever,0.762211,True,Labrador_Retriever,0.0989848999999999,True,Cocker_Spaniel,0.0171995,True
882045870035918850,13,10,Koko,,2017,July,Tuesday,29900,5203,1,Web_Site,0.949591,False,Dhole,0.0173258,False,Golden_Retriever,0.00694063,True
881906580714921986,12,10,Rey,,2017,July,Monday,24773,3533,1,Weimaraner,0.291539,True,Chesapeake_Bay_Retriever,0.278966,True,Koala,0.127017,False
881666595344535552,13,10,Gary,,2017,July,Monday,51522,11099,1,Saluki,0.529012,True,Afghan_Hound,0.250003,True,Golden_Retriever,0.160739,True
881536004380872706,14,10,No name,pupper,2017,July,Sunday,50199,16570,1,Samoyed,0.281463,True,Angora,0.272066,False,Persian_Cat,0.114854,False
880872448815771648,12,10,,,2017,June,Friday,21734,3989,1,Pembroke,0.791416,True,Norwich_Terrier,0.0613929,True,Chihuahua,0.0337257,True
880465832366813184,12,10,Bella,,2017,June,Thursday,29075,6546,1,Golden_Retriever,0.913255,True,Labrador_Retriever,0.0263286,True,Cocker_Spaniel,0.00937082,True
